 Al Density=2.699
 Energy(eV), Delta, Beta
  30.  0.107041024  0.00801586732
  30.3095207  0.10440921  0.00794757344
  30.6222324  0.10183806  0.00787987281
  30.9381752  0.0993266776  0.00781275332
  31.2573738  0.0968742147  0.00774620473
  31.5798683  0.0944779739  0.00768020051
  31.9056873  0.0921403393  0.0076147737
  32.2348709  0.0898599252  0.00754992105
  32.5674477  0.0876381472  0.00747929979
  32.9034576  0.0854662955  0.00739861699
  33.2429352  0.0833401978  0.00730078388
  33.5859146  0.0812479854  0.0072042169
  33.9324303  0.0791986585  0.00710892677
  34.2825241  0.0771880895  0.00701491628
  34.6362267  0.0752179697  0.00692214072
  34.9935799  0.0732905269  0.00683058845
  35.3546219  0.0713989288  0.00674025575
  35.7193871  0.0695470497  0.00665111002
  36.0879173  0.0677352473  0.00656313403
  36.460247  0.0659560189  0.00647634035
  36.836422  0.0642154366  0.00639069453
  37.2164764  0.0625108778  0.00630618585
  37.6004486  0.0608381368  0.00622278871
  37.9883881  0.0592018887  0.00614048773
  38.3803253  0.0575978681  0.00605926756
  38.77631  0.0560248978  0.00597912259
  39.1763763  0.0544863604  0.00590004027
  39.580574  0.0529763773  0.00582201174
  39.9889412  0.0514988564  0.0057450179
  40.4015198  0.0500549488  0.00566891348
  40.8183594  0.0486388654  0.00559049891
  41.2394943  0.0472514704  0.00550630596
  41.664978  0.045891434  0.00541589269
  42.0948486  0.0445457138  0.00532695465
  42.5291557  0.0432267785  0.00523947598
  42.9679451  0.0419303589  0.00515343715
  43.4112587  0.0406537578  0.00506881345
  43.8591461  0.0394034684  0.00498557976
  44.311657  0.0381726623  0.00490371231
  44.768837  0.0369632095  0.00482319109
  45.230732  0.0357791036  0.00474399142
  45.6973915  0.0346117876  0.00466607837
  46.168869  0.0334674753  0.00458945287
  46.6452103  0.0323470458  0.00451409305
  47.126461  0.0312608406  0.00443996862
  47.6126823  0.0301981159  0.00434971787
  48.10392  0.0291550867  0.00423656171
  48.6002274  0.0280954372  0.00411110744
  49.1016464  0.0270465165  0.00398661615
  49.6082497  0.0259988159  0.00386589044
  50.1200714  0.0249550752  0.00374883087
  50.6371803  0.0239264518  0.00363531569
  51.1596222  0.0228973869  0.00352523127
  51.6874504  0.0218769573  0.00341847702
  52.2207298  0.0208714977  0.0033149526
  52.75951  0.0198568888  0.00321457069
  53.3038483  0.0188545138  0.00312104565
  53.8538017  0.0178615935  0.00303452951
  54.4094276  0.0168665275  0.00295500015
  54.9707909  0.0158868879  0.00287804869
  55.537941  0.0149134668  0.00280310586
  56.1109467  0.013936243  0.0027301095
  56.6898613  0.012971038  0.00265901466
  57.2747498  0.0119989756  0.00258977781
  57.8656731  0.0110240169  0.00252233609
  58.4626923  0.0100581581  0.00245664874
  59.065876  0.00906461943  0.00239267829
  59.6752777  0.00807050709  0.00233659614
  60.290966  0.00708003389  0.00228740741
  60.9130096  0.00606036  0.00224356959
  61.5414696  0.00504276343  0.00220075483
  62.1764145  0.0040135812  0.00215875823
  62.8179131  0.00292574521  0.00211755815
  63.4660225  0.00182984385  0.00208839122
  64.1208267  0.000694284041  0.00209001824
  64.7823868 -0.000471543259  0.0020940809
  65.4507599 -0.00164447795  0.00209916406
  66.1260452 -0.00290698605  0.0021042556
  66.8082886 -0.00424029445  0.002109366
  67.4975739 -0.00561046461  0.00211441331
  68.1939697 -0.00721568847  0.00211482216
  68.8975449 -0.00896556303  0.00211495627
  69.6083908 -0.0108918138  0.00211476069
  70.326561 -0.0134867495  0.0021145707
  71.0521469 -0.0168302674  0.00211438024
  71.7852173 -0.0215786025  0.00211418956
  72.5258484 -0.0355339237  0.00211399328
  73.2741241 -0.026687691  0.0241583213
  74.0301132 -0.0213581361  0.0245230757
  74.7939148 -0.018181514  0.024893295
  75.5655899 -0.0162595585  0.0252691284
  76.3452225 -0.0150392503  0.0256505944
  77.1328964 -0.0140036307  0.0260378923
  77.9287109 -0.0131365042  0.0264310967
  78.7327271 -0.0124139581  0.026830161
  79.5450363 -0.0117298644  0.0272352491
  80.3657379 -0.0110815382  0.027646482
  81.1948929 -0.010455966  0.0280153546
  82.032608 -0.00985503849  0.0283776429
  82.8789673 -0.0092841303  0.028742075
  83.7340622 -0.00869831443  0.0291111525
  84.5979767 -0.00809170399  0.0294850059
  85.4708023 -0.00733875204  0.029863663
  86.3526306 -0.00653097732  0.0301131867
  87.2435608 -0.00569291506  0.0302613862
  88.1436844 -0.00498052454  0.0301402099
  89.0530853 -0.00434611784  0.030019518
  89.9718857 -0.00379859796  0.0298993122
  90.9001465 -0.00330753438  0.0297795758
  91.8379974 -0.00284597673  0.029660305
  92.7855301 -0.00241515692  0.0295415223
  93.7428284 -0.00200765627  0.0294232015
  94.7099991 -0.00161820056  0.0293053593
  95.6871567 -0.00124475849  0.0291880053
  96.6743927 -0.000883479603  0.0290710889
  97.6718216 -0.000534387189  0.0289546326
  98.6795349 -0.000190457271  0.0288386941
  99.6976471  0.000146733844  0.0287232008
  100.726257  0.000477151509  0.0286081862
  101.765488  0.000815156091  0.0284936707
  102.815437  0.00115441123  0.0283733364
  103.876221  0.0015020814  0.0282430984
  104.947945  0.0018430216  0.0280803889
  106.030724  0.00216868683  0.027910972
  107.12468  0.00247272942  0.0277424585
  108.229919  0.00277242786  0.027575044
  109.346573  0.00306481821  0.0274086762
  110.474739  0.00335738342  0.0272433665
  111.61454  0.0036476166  0.0270789824
  112.766113  0.00393302087  0.0269155614
  113.92955  0.00422800006  0.026753122
  115.105003  0.00452161627  0.026591612
  116.292587  0.00481714308  0.0264310259
  117.492416  0.00512837525  0.0262715928
  118.70462  0.00544291735  0.0261131208
  119.929337  0.00577266142  0.0259555224
  121.166695  0.00613295427  0.0257988535
  122.416809  0.00651536649  0.0256431494
