 Li Density=0.534
 Energy(eV), Delta, Beta
  30.  0.0236909911  0.00408540433
  30.3095207  0.0229935553  0.00396287302
  30.6222324  0.0223029274  0.00384902419
  30.9381752  0.0216248911  0.00373955071
  31.2573738  0.0209608786  0.00363387936
  31.5798683  0.0203032568  0.00353120081
  31.9056873  0.0196572766  0.00343142357
  32.2348709  0.0190224424  0.00333446218
  32.5674477  0.0183927733  0.00324023631
  32.9034576  0.0177746806  0.00314867776
  33.2429352  0.0171651412  0.00305971573
  33.5859146  0.0165613797  0.00297326478
  33.9324303  0.0159685854  0.0028892518
  34.2825241  0.0153815551  0.00280759903
  34.6362267  0.0148014324  0.00272827176
  34.9935799  0.0142318262  0.00265119085
  35.3546219  0.0136652831  0.00257626572
  35.7193871  0.0131079732  0.00250346679
  36.0879173  0.0125611154  0.00243273121
  36.460247  0.0120139541  0.00235630665
  36.836422  0.01147357  0.00228143507
  37.2164764  0.0109365433  0.00220800401
  37.6004486  0.0103969099  0.00213693199
  37.9883881  0.00986464787  0.00206814939
  38.3803253  0.00933361519  0.00200158567
  38.77631  0.00880250242  0.00193715899
  39.1763763  0.00827842765  0.00187480554
  39.580574  0.00775084691  0.00181445619
  39.9889412  0.00722501241  0.00175605423
  40.4015198  0.00670563802  0.00169953483
  40.8183594  0.00617650524  0.00164483045
  41.2394943  0.005651074  0.00159188826
  41.664978  0.00512808608  0.00154064968
  42.0948486  0.00459295604  0.00149141066
  42.5291557  0.00406157784  0.00144409353
  42.9679451  0.00352618727  0.00139884977
  43.4112587  0.00297928811  0.00135502522
  43.8591461  0.0024345587  0.00131257391
  44.311657  0.00187594106  0.00127145089
  44.768837  0.0013055437  0.00123161648
  45.230732  0.000734951755  0.00119302992
  45.6973915  0.000135260634  0.00115565513
  46.168869 -0.000475893612  0.00111944904
  46.6452103 -0.00109289284  0.0010843752
  47.126461 -0.0017593794  0.00105040264
  47.6126823 -0.00243845419  0.00101749436
  48.10392 -0.00314340228  0.000985616236
  48.6002274 -0.00391351664  0.000954737596
  49.1016464 -0.00470835064  0.000924826425
  49.6082497 -0.0055701891  0.000895851699
  50.1200714 -0.00652806787  0.000867137744
  50.6371803 -0.00753633538  0.000839032349
  51.1596222 -0.00871763285  0.000811497797
  51.6874504 -0.0100779887  0.000784866163
  52.2207298 -0.0115546621  0.000759128132
  52.75951 -0.0136190541  0.000734935864
  53.3038483 -0.0163331609  0.000712333305
  53.8538017 -0.0197672211  0.000691343856
  54.4094276 -0.0305032004  0.00067097292
  54.9707909 -0.0319258012  0.0214539208
  55.537941 -0.0228239708  0.0222215839
  56.1109467 -0.0188032873  0.0230167713
  56.6898613 -0.0164207984  0.0238404088
  57.2747498 -0.0146242743  0.0246934425
  57.8656731 -0.0128771383  0.0254507102
  58.4626923 -0.0111897551  0.0261322372
  59.065876 -0.00960404798  0.0265194513
  59.6752777 -0.00812135451  0.0268433169
  60.290966 -0.00673370017  0.0271072499
  60.9130096 -0.00539388182  0.0272512063
  61.5414696 -0.00409592129  0.0273676347
  62.1764145 -0.00283403718  0.0274493471
  62.8179131 -0.00150908169  0.0274787676
  63.4660225 -0.000173075721  0.0274119917
  64.1208267  0.0012196094  0.0271148775
  64.7823868  0.00255952822  0.0266862512
  65.4507599  0.00382707617  0.0261550806
  66.1260452  0.00493144011  0.0253179185
  66.8082886  0.00593841542  0.0245075338
  67.4975739  0.00686263433  0.0237142332
  68.1939697  0.00753775844  0.0224522743
  68.8975449  0.00798994489  0.0213237535
  69.6083908  0.00819334574  0.0203279871
  70.326561  0.00827622693  0.0194575023
  71.0521469  0.0083171092  0.0186797306
  71.7852173  0.00830840226  0.0180243813
  72.5258484  0.00826073252  0.0173920784
  73.2741241  0.00818815548  0.0168087035
  74.0301132  0.00806618296  0.0163479242
  74.7939148  0.00796029903  0.0159439072
  75.5655899  0.00786512904  0.0155808125
  76.3452225  0.0077907485  0.0153042674
  77.1328964  0.00772781344  0.0150334416
  77.9287109  0.00767513271  0.0147681655
  78.7327271  0.00764297135  0.0146012986
  79.5450363  0.00764918514  0.0144419791
  80.3657379  0.00771308271  0.0142853716
  81.1948929  0.00781240501  0.0141189834
  82.032608  0.00792056788  0.0139397606
  82.8789673  0.00804167334  0.0137281045
  83.7340622  0.00816216692  0.0135196662
  84.5979767  0.00828415155  0.0133143999
  85.4708023  0.0084390454  0.0131122507
  86.3526306  0.00861212425  0.0128928712
