 W Density=19.3
 Energy(eV), Delta, Beta
  30.  0.263110489  0.204713166
  30.3095207  0.254711926  0.197576836
  30.6222324  0.245786369  0.190689817
  30.9381752  0.236570626  0.184194103
  31.2573738  0.22725895  0.17803897
  31.5798683  0.217693686  0.172594562
  31.9056873  0.208133578  0.167316824
  32.2348709  0.198569849  0.16220057
  32.5674477  0.188330308  0.157549635
  32.9034576  0.178122431  0.153342828
  33.2429352  0.167864174  0.149746835
  33.5859146  0.157570213  0.146235317
  33.9324303  0.147170171  0.142806157
  34.2825241  0.135962278  0.139457285
  34.6362267  0.123931363  0.137430102
  34.9935799  0.111715481  0.136216596
  35.3546219  0.0997175053  0.136480272
  35.7193871  0.0879371837  0.136744604
  36.0879173  0.076409407  0.137009561
  36.460247  0.0620192625  0.137274906
  36.836422  0.0471019521  0.140644476
  37.2164764  0.0313740186  0.148674101
  37.6004486  0.0186754875  0.158629641
  37.9883881  0.00747825997  0.169911355
  38.3803253 -0.00185276615  0.183017835
  38.77631 -0.00869252626  0.197134018
  39.1763763 -0.0145708797  0.212338775
  39.580574 -0.0206845365  0.228721529
  39.9889412 -0.0213065445  0.251225919
  40.4015198 -0.0176580343  0.279061317
  40.8183594  0.00670444127  0.296383351
  41.2394943  0.0298464708  0.30468601
  41.664978  0.0517883338  0.302109629
  42.0948486  0.0679818764  0.299556762
  42.5291557  0.0827900171  0.293605179
  42.9679451  0.0965203047  0.28160122
  43.4112587  0.104207799  0.268853843
  43.8591461  0.108588845  0.255000085
  44.311657  0.107623242  0.237383559
  44.768837  0.100955188  0.227233261
  45.230732  0.0917286202  0.220862374
  45.6973915  0.0838084966  0.216353238
  46.168869  0.0751661658  0.214701504
  46.6452103  0.0659749135  0.215501159
  47.126461  0.0590214692  0.220186532
  47.6126823  0.0534865558  0.226105243
  48.10392  0.0497341082  0.233700231
  48.6002274  0.0490803272  0.242583588
  49.1016464  0.0504857004  0.252005279
  49.6082497  0.0556245632  0.261793524
  50.1200714  0.0641757026  0.270080745
  50.6371803  0.0743067563  0.276854783
  51.1596222  0.0869139209  0.278147578
  51.6874504  0.0991424471  0.277630717
  52.2207298  0.110908128  0.275742084
  52.75951  0.120690666  0.269552767
  53.3038483  0.129352733  0.263502359
  53.8538017  0.136847273  0.257587731
  54.4094276  0.144315228  0.250346005
  54.9707909  0.150951207  0.242309868
  55.537941  0.156283319  0.23294276
  56.1109467  0.159588948  0.223936439
  56.6898613  0.16202122  0.215278119
  57.2747498  0.163643986  0.206955209
  57.8656731  0.164702117  0.198954314
  58.4626923  0.165376201  0.19126299
  59.065876  0.165492743  0.183868289
  59.6752777  0.165324241  0.176760063
  60.290966  0.164904267  0.16992709
  60.9130096  0.164125741  0.163357288
  61.5414696  0.163194463  0.157041818
  62.1764145  0.162078843  0.150970757
  62.8179131  0.160772353  0.145133942
  63.4660225  0.159409076  0.13952288
  64.1208267  0.15800862  0.134128958
  64.7823868  0.156546161  0.128760368
  65.4507599  0.155002654  0.123489946
  66.1260452  0.153143749  0.118183658
  66.8082886  0.151109666  0.113105908
  67.4975739  0.148959011  0.108246647
  68.1939697  0.14662841  0.103595085
  68.8975449  0.144256324  0.0991436318
  69.6083908  0.141832039  0.0948835313
  70.326561  0.13935636  0.0908065885
  71.0521469  0.136892676  0.0869005397
  71.7852173  0.134433031  0.0831539705
  72.5258484  0.13191548  0.0793162361
  73.2741241  0.129352719  0.0755815506
  74.0301132  0.126601219  0.0720226541
  74.7939148  0.123787455  0.0686312765
  75.5655899  0.120956384  0.0653995425
  76.3452225  0.118039362  0.0623201914
  77.1328964  0.115110524  0.0593857653
  77.9287109  0.112176873  0.0565894358
  78.7327271  0.109161705  0.0539248288
  79.5450363  0.106091261  0.0513857156
  80.3657379  0.102907956  0.0489661135
  81.1948929  0.0996578336  0.0470229499
  82.032608  0.0965303183  0.0452489965
  82.8789673  0.0936709195  0.0435879715
  83.7340622  0.0908518657  0.0419879407
  84.5979767  0.0880618617  0.040446613
  85.4708023  0.0851475894  0.0389618874
  86.3526306  0.0822248235  0.037758559
  87.2435608  0.0793208033  0.0367600694
  88.1436844  0.0767834485  0.03593494
  89.0530853  0.074326925  0.0351283289
  89.9718857  0.0719512776  0.0343398005
  90.9001465  0.0695194006  0.0335690081
  91.8379974  0.0671288744  0.0329497419
  92.7855301  0.0647825077  0.0326267965
  93.7428284  0.062718004  0.0323244594
  94.7099991  0.0607920066  0.0320305638
  95.6871567  0.0589722618  0.0317393653
  96.6743927  0.0572197996  0.0314507782
  97.6718216  0.0555265099  0.0311682727
  98.6795349  0.0539016947  0.0309377257
  99.6976471  0.0523590483  0.030715486
  100.726257  0.0508947968  0.0305013712
  101.765488  0.0495019145  0.0302888919
  102.815437  0.0481576398  0.0300779454
  103.876221  0.0468652658  0.0298685245
  104.947945  0.0456238203  0.0296603162
  106.030724  0.0444215611  0.0294535775
  107.12468  0.0432610251  0.02924853
  108.229919  0.0421332829  0.02904482
  109.346573  0.0410350598  0.0288465135
  110.474739  0.0399625711  0.0286778696
  111.61454  0.0389379933  0.0285208281
  112.766113  0.0379549153  0.0283729751
  113.92955  0.0370231271  0.028225895
  115.105003  0.036122635  0.0280796234
  116.292587  0.0352549925  0.0279341694
  117.492416  0.0344234109  0.0277892668
  118.70462  0.0336188152  0.0276451148
  119.929337  0.032844767  0.0275017954
  121.166695  0.0321004242  0.0273593534
  122.416809  0.0313799419  0.0272176564
  123.679832  0.0306890998  0.0270764157
  124.955879  0.0300239548  0.0269360412
  126.245087  0.0293807462  0.0267964769
  127.547607  0.0287708826  0.0266575236
  128.863556  0.0281862244  0.0265123919
  130.193085  0.0276261605  0.0263609458
  131.536331  0.0270809513  0.0261939503
  132.893448  0.0265475232  0.0260268971
  134.264542  0.0260258839  0.0258611012
  135.649796  0.025521405  0.0256962627
  137.049347  0.0250305906  0.0255324394
  138.463318  0.0245561637  0.0253696367
  139.891907  0.0240977071  0.0252079517
  141.33522  0.0236523375  0.0250473432
  142.793427  0.0232250486  0.024887532
  144.266663  0.0228123683  0.0247288216
  145.755112  0.0224124957  0.0245711692
  147.258926  0.022033263  0.0244145226
  148.778244  0.0216685366  0.0242588371
  150.313232  0.0213204324  0.0241041109
  151.864075  0.0209990796  0.023936322
  153.430908  0.0206856746  0.0237620268
  155.013916  0.0203769356  0.0235763155
  156.613235  0.0200742409  0.0233922061
  158.22908  0.0197780095  0.0232096016
  159.861572  0.0194943286  0.0230284389
  161.510925  0.0192270521  0.0228486191
  163.177292  0.0189715754  0.0226686932
  164.86084  0.0187340211  0.0224592723
  166.561768  0.0184930004  0.0222497825
  168.280243  0.0182484761  0.0220401268
  170.016449  0.0180118438  0.0218324717
  171.770569  0.0177842304  0.0216267947
  173.542786  0.0175698958  0.0214230884
  175.333282  0.0173656121  0.0211912319
  177.142273  0.0171597544  0.0209530946
  178.96991  0.0169391036  0.0207142886
  180.816391  0.0167171955  0.0204782747
  182.681931  0.0164950006  0.020244984
  184.566742  0.016268434  0.0200143605
  186.470978  0.0160411224  0.0197935645
  188.394852  0.0158137009  0.0195812806
  190.338593  0.0156021882  0.0193765424
  192.302383  0.0153956739  0.019174058
  194.286438  0.015194756  0.0189736634
  196.290955  0.0150006106  0.0187753048
  198.316162  0.0148107912  0.0185790155
  200.362244  0.0146270255  0.0183848161
  202.429443  0.0144514479  0.0181926489
  204.51799  0.0142808082  0.0180007331
  206.628067  0.0141177364  0.0178017896
  208.759918  0.0139538962  0.0176038314
  210.913773  0.0137899788  0.0174072497
  213.089844  0.0136293983  0.0172128398
  215.288361  0.0134713259  0.0170206036
  217.509567  0.0133158891  0.0168305114
  219.753693  0.0131647009  0.0166425388
  222.020966  0.0130160339  0.0164566673
  224.31163  0.012870823  0.0162728932
  226.625931  0.0127297854  0.0160911269
  228.964111  0.0125912884  0.0159113891
  231.326416  0.0124571063  0.0157336779
  233.713089  0.0123267639  0.0155579941
  236.12439  0.0121989604  0.0153842699
  238.560562  0.0120765418  0.0152124073
  241.021866  0.0119575802  0.0150425052
  243.508591  0.0118415318  0.0148745282
  246.020935  0.011732161  0.0147083933
  248.559204  0.0116259335  0.0145441238
  251.123688  0.0115240449  0.0143817207
  253.71463  0.0114295771  0.0142210899
  256.332306  0.0113390507  0.0140622556
  258.976959  0.0112560876  0.0139052439
  261.648895  0.0111866286  0.0137499301
  264.348419  0.0111259446  0.0135963419
  267.075806  0.0110895028  0.0134445028
  269.831299  0.0110569261  0.013247069
  272.615265  0.0110250935  0.0130198253
  275.427917  0.0109588047  0.0127929579
  278.269623  0.0108853551  0.0125700366
  281.140625  0.0108043114  0.0123510053
  284.041229  0.010716809  0.0121358028
  286.971802  0.0106266383  0.0119243506
  289.932587  0.0105334297  0.0117165949
  292.92392  0.0104381358  0.0115124285
  295.946106  0.0103420289  0.0113118198
  298.999481  0.0102458615  0.0111147435
  302.084381  0.0101507995  0.0109188799
  305.20108  0.0100557869  0.0107248165
  308.349915  0.00995636359  0.010529289
